論文番号,WEKO_URL,アイテムタイプ,査読区別,著者(姓+名),タイトル,タイトル(英),abstract,グループID,研究対象・データタイプ,研究対象・データタイプ（備考）,研究目的・応用分野,研究目的・応用分野（備考）,手法・技術要素分類,手法・技術要素分類（備考）,言語,公開日,書誌情報(雑誌名),書誌情報(巻),書誌情報(号),書誌情報(開始ページ),書誌情報(終了ページ),書誌情報(発行年),DOI,リンクURL(URL),使用データ(表示名),間取り図画像データ,月次データ,賃貸物件スナップショットデータ
85,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4573,Conference Paper (DSC),あり（会議）,"Katsumata,Yuki|Taniguchi,Akira|Lotfi,Elhafi|Hagiwara,Yoshinobu|Taniguchi,Tadahiro",SpCoMapGAN: Spatial Concept Formation-based Semantic Mapping with Generative Adversarial Networks,,"In semantic mapping, which connects semantic information to an environment map, it is a challenging task for robots to deal with both local and global information of environments. In addition, it is important to estimate semantic information of unobserved areas from already acquired partial observations in a newly visited environment. On the other hand, previous studies on spatial concept formation enabled a robot to relate multiple words to places from bottom-up observations even when the vocabulary was not provided beforehand. However, the robot could not transfer global information related to the room arrangement between semantic maps from other environments. In this paper, we propose SpCoMapGAN, which generates the semantic map in a newly visited environment by training an inference model using previously estimated semantic maps. SpCoMapGAN uses generative adversarial networks (GANs) to transfer semantic information based on room arrangements to a newly visited environment. Our proposed method assigns semantics to the map of an unknown environment using the prior distribution of the map trained in known environments and the multimodal observations made in the unknown environment. We experimentally show in simulation that SpCoMapGAN can use global information for estimating the semantic map and is superior to previous methods. Finally, we also demonstrate in a real environment that SpCoMapGAN can accurately 1) deal with local information, and 2) acquire the semantic information of real places.",32,A1 / A3,地図画像 or マップ + 空間情報,B3,ロボットの空間マッピング応用,C1 / C2 / C3,(1) ML/DL(GAN) / (3) CV / (2) Spatial?,en,2022/11/26,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2020),,,1,8,2020,10.1109/IROS45743.2020.9341456,https://ieeexplore.ieee.org/document/9341456,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
86,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4572,Journal Article (DSC),あり（論文誌）,"Lu,Zhengda|Wang,Teng|Guo,Jianwei|Meng,Weiliang|Xiao,Jun|Zhang,Wei|Zhang,Xiaopeng",Data-driven floor plan understanding in rural residential buildings via deep recognition,,"Automatic understanding of floor plan images is a key component of various applications. Due to the style diversity of rural housing design, the latest learning-based approaches cannot achieve satisfactory recognition results. In this paper, we present a new framework for parsing floor plans of rural residence that combines semantic neural networks with a post-processed room segmentation. First, we take case studies from typical residential buildings in China’s rural areas and provide a novel image dataset, called RuralHomeData, containing 800 rural residence floor plans with accurate man-made annotations. Based on the dataset, we propose a new deep learning-based recognition framework using a joint neural network to predict the geometric elements and text information on the floor plan simultaneously. Our insight is that walls and openings (doors and windows) are the basic elements corresponding to the room boundary that a closed 1D loop must form a certain room. Then the semantic information (e.g., the room function) of room regions can be obtained through text detection and identification. Furthermore, we use the MIQP algorithm to divide the area containing multiple room type texts into multiple room areas. Finally, the input floor plan can be transformed into a room layout graph with room attributes and adjacent relationships. The proposed algorithm has been tested on both urban and rural datasets, and the experimental results demonstrate our efficiency and robustness compared with the state-of-the-art methods.",33,A1,フロアプラン画像,B2,地方住宅のフロアプラン解析,C1,(1) ML/DL(semantic segmentation?),en,2022/11/26,Information Sciences,567,,58,74,2021,10.1016/j.ins.2021.03.032,https://www.sciencedirect.com/science/article/abs/pii/S0020025521002759?via%3Dihub,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
87,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4563,Conference Paper (DSC),あり（会議）,"Nakagawa,Hideyuki",The Evaluation of Preservation Policies in the Historic Districts ― Time Difference with the Building Fixed Effects in Hikone and Nagoya Cities―,,,11,A2 / A3,不動産価値 + 指定地域,B3,歴史的地区保存政策の評価,C2,(2) Stat(政策評価),en,2022/11/26,The 11th International Conference on Cultural Policy Research,,,,,2021,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
88,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4733,Conference Paper (DSC),あり（会議）,"Nakagawa,Hideyuki",Regression Discontinuity Approach to Evaluate the Preservation Policies in the Historic Districts - Case of the Important Preservation Districts for Groups of Traditional Buildings in Japan,,,11,A2 / A3,政策指定の境界 × 不動産属性,B3,歴史的建築物保存政策の効果検証,C2,(2) Stat(RDデザイン),en,2022/11/26,21st International Conference on Cultural Economics,,,,,2021,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
89,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4562,Journal Article (DSC),あり（論文誌）,"Nakagawa,Hideyuki|Tanaka,Mako",Contrasting the Net Impacts of Preservation Policies in Historic Districts,,"Past studies on the designation of historic districts for preservation purposes have shown mixed results, possibly due to the variability of restrictiveness in the regulations and the degree of financial support as well as the varieties of specifications in the hedonic pricing model, possibly with an endogeneity problem. Using property data with geographic information in a historic district with two different preservation policies in place, we provide insights into the two mentioned points. We observed a negative impact of restrictive historic district designations on rental prices after extracting the external effect of the designation, but no significant impacts in the district with less restrictive regulation. Estimation results using the samples located around the boundaries of designated areas do not alter this tendency, although the magnitude is sensitive to the size of bandwidth from the boundaries.",11,A2 / A3,,B3,歴史的地区指定が不動産に与える影響,C2,(2) Stat(ヘドニック/DiD),en,2022/11/26,観光研究,32,2,17,27,2021,10.18979/jitr.32.2_17,https://www.jstage.jst.go.jp/article/jitr/32/2/32_17/_article,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
90,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5031,Presentation (DSC)_02,なし,"Naoi,Michio|Niikura,Hiroaki|Seko,Miki",The Effect of Information Disclosure on Price Dispersion and the Time-on-Market: Evidence from the Housing Market,,"本研究は、地域の賃貸価格情報の開示が、価格分散および市場滞留期間に与える影響を検討するものである。2016年9月、日本の大手不動産情報プラットフォーム「Lifull Home's」は、「Lifull Price Map (LPM)」を京都府、大阪府、兵庫県の3府県で開始し、各物件の周囲20件の平均賃料情報を提供する新サービスを開始した。この情報開示を利用し、大規模な賃貸物件データを分析した結果、以下の主な知見が得られた。

価格分散の低減
LPM導入後、対象地域では品質調整後の賃料分散が大幅に減少した。これは、過度に高額または低額の物件が減少し、市場の透明性が向上したことを示している。

市場滞留期間の短縮
LPM導入後、対象地域では市場滞留期間が短縮し、物件の成約確率が高まる傾向が観察された。これは、価格情報の開示が市場効率を高め、取引を促進したことを意味する。

研究の背景
不動産市場は不完全情報の典型例であり、売り手と買い手の間で価格情報の非対称性が生じやすい。本研究では、価格情報の開示が市場効率に与える影響を評価するため、LPM導入前後のデータを比較分析した。

データと手法
データセット:
本研究では、統計数理研究所（NII）が提供する「Lifull Home's」からの賃貸物件データ（2015年7月～2017年5月）を使用。対象地域はLPM導入地域（京都、大阪、兵庫）と、対照群としての未導入地域（滋賀、和歌山、奈良）。
分析手法:
価格分散の分析には、ヘドニック回帰モデル を用い、市場滞留期間の分析には Cox比例ハザードモデル を採用。
Difference-in-Differences (DiD) 手法を用い、LPM導入前後の価格変動および市場滞留期間の変化を統計的に評価した。
主な結果
価格分散の減少

LPM導入後、対象地域では賃料の分散が約50%減少した。
高額物件および低額物件の割合が減り、市場の価格均衡が向上。
市場滞留期間の短縮

LPM導入後、対象地域では賃貸物件の成約期間が約15～20%短縮した。
取引確率が向上し、賃貸市場の流動性が向上。
結論と示唆
本研究の結果は、地域の価格情報の開示が不動産市場の効率化に貢献する ことを示唆している。政策的には、不動産市場の透明性向上のために、さらなる情報開示が有効である可能性がある。今後の研究では、より長期的な影響の検証や、異なる地域・市場での適用可能性を分析することが求められる。",34,A2,"価格データ, Time-on-Market",B1,賃料価格分散・Time-on-Market分析,C2,"(2) Stat(回帰,差分の差)",en,2023/12/3,日本不動産学会2022年秋季大会,,,,,2022,,https://www.jares.or.jp/events/2022papers/A-2-1_naoi.pdf,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
91,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5016,Thesis or Dissertation (DSC)_02,学位論文,"Nauata,Nelson",Structural Regularity Learning for Automated Architecture Modeling,,,1,A1,間取り/3D構造,B2,建築モデリングの自動化,C1 / C5,(1) ML/DL(GAN) / (5) Graph/KE,en,2023/12/3,"Doctoral thesis, Simon Fraser University",,,,,2022,,https://summit.sfu.ca/item/35785,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
92,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1517,Conference Paper (DSC),あり（会議）,"Ochi,Masanao|Nakashio,Yuko|Yamashita,Yuta|Sakata,Ichiro|Asatani,Kimitaka|Ruttely,Mattew|Mori,Junichiro",Representation Learning for Geospatial Areas using Large-scale Mobility Data from Smart Card,,"With the deployment of modern infrastructures for public transit, several studies have analyzed the transition patterns of people by using smart card data and have characterized the areas. In this paper, we propose a novel embedding method to obtain a vector representation of a geospatial area using transition patterns of people from the large-scale data of their smart cards. We extend a network embedding by taking into account geographical constraints on people transitioning in the real world. We conducted an experiment using smart card data in a large network of railroads in Kansai areas in Japan. We obtained a vector representation of each railroad station using the proposed embedding method. The results show that the proposed method performs better than the existing network embedding methods in the task of multi-label classification for purposes of going to a railroad station. Our proposed method can contribute to predicting people flow by discovering underlying representations of geospatial areas from mobility data.",35,A3,移動データ,B3,地理空間データの学習・都市応用,C1 / C2,(1) ML/DL(埋め込み) / (2) Spatial,en,2022/11/26,International Workshop on Pervasive Urban Applications In Conjunction with ACM Ubicomp 2016,,,1381,1389,2016,10.1145/2968219.2968416,https://doi.org/10.1145/2968219.2968416,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
93,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4207,Journal Article (DSC),なし,"Seya,Hajime|Shiroi,Daiki",A comparison of apartment rent price prediction using a large dataset: Kriging versus DNN,,"The hedonic approach based on a regression model has been widely adopted for the prediction of real estate property price and rent. In particular, a spatial regression technique called Kriging, a method of interpolation that was advanced in the field of spatial statistics, are known to enable high accuracy prediction in light of the spatial dependence of real estate property data. Meanwhile, there has been a rapid increase in machine learning-based prediction using a large (big) dataset and its effectiveness has been demonstrated in previous studies. However, no studies have ever shown the extent to which predictive accuracy differs for Kriging and machine learning techniques using big data. Thus, this study compares the predictive accuracy of apartment rent price in Japan between the nearest neighbor Gaussian processes (NNGP) model, which enables application of Kriging to big data, and the deep neural network (DNN), a representative machine learning technique, with a particular focus on the data sample size (n = 10^4, 10^5, 10^6) and differences in predictive performance. Our analysis showed that, with an increase in sample size, the out-of-sample predictive accuracy of DNN approached that of NNGP and they were nearly equal on the order of n = 10^6. Furthermore, it is suggested that, for both higher and lower end properties whose rent price deviates from the median, DNN may have a higher predictive accuracy than that of NNGP.",12,A2,賃料属性,B1,賃料予測の手法比較,C1 / C2,(1) ML/DL(DNN) + (2) Stat/Spatial(Kriging),en,2022/11/26,arXiv:1906.11099 [stat.AP],,,,,2019,10.48550/arXiv.1906.11099,https://arxiv.org/abs/1906.11099,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
94,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4736,Journal Article (DSC),あり（論文誌）,"Seya,Hajime|Shiroi,Daiki",A comparison of residential apartment rent price predictions using a large data set: kriging versus deep neural network.,,,12,A2,賃料属性,B1,賃料予測手法比較,C1 / C2,(1) ML/DL(DNN) + (2) Stat/Spatial(Kriging),en,2022/11/26,Geographical Analysis,54,2,239,260,2021,10.1111/gean.12283,https://onlinelibrary.wiley.com/doi/10.1111/gean.12283,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
95,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5015,Journal Article (DSC)_02,なし,"Takizawa,Atsushi",Extracting real estate values of rental apartment floor plans using graph convolutional networks,,"Access graphs that indicate adjacency relationships from the perspective of flow lines of rooms are extracted automatically from a large number of floor plan images of a family-oriented rental apartment complex in Osaka Prefecture, Japan, based on a recently proposed access graph extraction method with slight modifications. We define and implement a graph convolutional network (GCN) for access graphs and propose a model to estimate the real estate value of access graphs as the floor plan value. The model, which includes the floor plan value and hedonic method using other general explanatory variables, is used to estimate rents and their estimation accuracies are compared. In addition, the features of the floor plan that explain the rent are analyzed from the learned convolution network. Therefore, a new model for comprehensively estimating the value of real estate floor plans is proposed and validated. The results show that the proposed method significantly improves the accuracy of rent estimation compared to that of conventional models, and it is possible to understand the specific spatial configuration rules that influence the value of a floor plan by analyzing the learned GCN.",36,A1 / A2,間取り図→グラフ・賃料属性,B1 / B2,(GCNを用いた賃料評価 + 間取り解析),C1 / C5,(1) ML/DL(GNN) / (5) Graph/KE,en,2023/12/3,arXiv:2303.13568 [cs.LG],,,,,2023,10.48550/arXiv.2303.13568,https://arxiv.org/abs/2303.13568,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
96,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4742,Conference Paper (DSC),あり（会議）,"Wang,Kai|Xu,Xianghao|Lei,Leon|Lindsay,Natalie|Ling,Selena|Chang,Angel X.|Savva,Manolis|Ritchie,Daniel",Roominoes: Generating Novel 3D Floor Plans From Existing 3D Rooms,,"Realistic 3D indoor scene datasets have enabled significant recent progress in computer vision, scene understanding, autonomous navigation, and 3D reconstruction. But the scale, diversity, and customizability of existing datasets is limited, and it is time-consuming and expensive to scan and annotate more. Fortunately, combinatorics is on our side: there are enough individual rooms in existing 3D scene datasets, if there was but a way to recombine them into new layouts. In this paper, we propose the task of generating novel 3D floor plans from existing 3D rooms. We identify three sub-tasks of this problem: generation of 2D layout, retrieval of compatible 3D rooms, and deformation of 3D rooms to fit the layout. We then discuss different strategies for solving the problem, and design two representative pipelines: one uses available 2D floor plans to guide selection and deformation of 3D rooms; the other learns to retrieve a set of compatible 3D rooms and combine them into novel layouts. We design a set of metrics that evaluate the generated results with respect to each of the three subtasks and show that different methods trade off performance on these subtasks. Finally, we survey downstream tasks that benefit from generated 3D scenes and discuss strategies in selecting the methods most appropriate for the demands of these tasks.",37,A1,3Dフロアプラン,B2,フロアプラン生成,C1,(1) ML/DL(GAN),en,2022/11/26,Eurographics Symposium on Geometry Processing (SGP) 2021,,,,,2021,10.1111/cgf.14357,https://arxiv.org/abs/2112.05644,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
97,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5028,Journal Article (DSC)_02,あり（論文誌）,"Xing,Jici|Luo,Qian|Wu,Yijie|Shang,Jianga",Self-Optimization for Parsing Floor Plans,,"Floor plan vectorization is an emerging research area in geographic information science and computer vision. However, automated recognition of building elements remains a challenge. This work proposes a method that combines the advantages of classical graphics with deep learning. Specifically, a morphological template is introduced to optimize topological relations, enhance completeness, and suppress conflicts. Bezier curves are utilized to represent irregularity contributing to improving visual effects and experimental accuracy. Thus, the proposed method can be directly practiced to boost performance and correct pseudo-samples in self-training. Experiments demonstrate that the proposed method achieves a considerable improvement in CVC-FP and R2V benchmarks. Additionally, our approach outputs instances with consistent topology, enabling direct modeling into Industry Foundation Classes (IFC) or City Geography Markup Language (CityGML). Hopefully, this work can serve as a new baseline for further study.",38,A1,間取り図,B2,フロアプラン解析の最適化,C1 / C3,(1) ML/DL(Transformer) / (3) CV,en,2023/12/3,Journal of Computing in Civil Engineering,36,6,,,2022,10.1061/(ASCE)CP.1943-5487.0001048,https://ascelibrary.org/doi/abs/10.1061/%28ASCE%29CP.1943-5487.0001048,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
98,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5021,Journal Article (DSC)_02,あり（論文誌）,"Yoshida,Takahiro|Murakami,Daisuke|Seya,Hajime",Spatial prediction of apartment rent using regression-based and machine learning-based approaches with a large dataset,,"Employing a large dataset (at most, the order of n = 106), this study attempts enhance the literature on the comparison between regression and machine learning-based rent price prediction models by adding new empirical evidence and considering the spatial dependence of the observations. The regression-based approach incorporates the nearest neighbor Gaussian processes (NNGP) model, enabling the application of kriging to large datasets. In contrast, the machine learning-based approach utilizes typical models: extreme gradient boosting (XGBoost), random forest (RF), and deep neural network (DNN). The out-of-sample prediction accuracy of these models was compared using Japanese apartment rent data, with a varying order of sample sizes (i.e., n = 104, 105, 106). The results showed that, as the sample size increased, XGBoost and RF outperformed NNGP with higher out-of-sample prediction accuracy. XGBoost achieved the highest prediction accuracy for all sample sizes and error measures in both logarithmic and real scales and for all price bands if the distribution of rents is similar in training and test data. A comparison of several methods to account for the spatial dependence in RF showed that simply adding spatial coordinates to the explanatory variables may be sufficient.",12,A2 / A3,賃料 + 空間,B1,賃料予測,C1 / C2,"(1) ML/DL(XGBoost,RF,DNN) + (2) Stat/Spatial(NNGP)",en,2023/12/3,The Journal of Real Estate Finance and Economics,,,,,2022,10.1007/s11146-022-09929-6,https://link.springer.com/article/10.1007/s11146-022-09929-6,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
99,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4214,Presentation (DSC),なし,"安藤,智拓|小森,雄太|荒木,優|矢島,光|加藤,真奈|松山,博憲",物件情報を用いた最適な賃貸経営の提案,,,39,A2,賃料・属性情報,B1,賃貸物件の価格・経営最適化,C1 / C2,(1) ML/DL? / (2) Stat?,ja,2022/11/26,Webとデータベースに関するフォーラム（WebDB Forum 2019）,,,,,2019,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
100,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4745,Conference Paper (DSC),なし,"井上,雅史|森谷,悠樹",外観画像による戸建住宅の建物構造自動分類,,建物には木造や鉄骨造など様々な構造があり，特性が異なっている．しかし，それらの建物構造を目視により分類することは容易ではない．本研究では，事前に訓練済みの深層学習による汎用的な画像認識モデルを利用して，外観画像から建物構造を自動的に分類する．自動化により，大量の建物データに対して建物構造の情報を付与することが可能となる．対象として，不動産情報サービスに登録された戸建て賃貸住宅を取り上げ，学習済みモデル（VGG-16，VGG-19）のファインチューニングにより，分類モデルを構築した．その際に，分類に使用するニューラルネットワークの層数が多い場合，学習に時間がかかるという問題があった．少ない層数で学習済みモデルに近い分類性能が得られれば，学習に要する時間を削減できる．そこで，層数を減らした独自CNNを用いて，学習済みモデル同様の正解率に近づけるための条件を探索した．,40,A1,画像：外観,B3,建物構造分類,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,人工知能学会全国大会論文集,35,,,,2021,10.11517/pjsai.jsai2021.0_4f3gs10n02,https://www.jstage.jst.go.jp/article/pjsai/JSAI2021/0/JSAI2021_4F3GS10n02/_article/-char/ja/,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
101,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5026,Thesis or Dissertation (DSC)_02,学位論文,"井澤,佳織",合理的な意思決定による歴史的建築物の保存実現に向けた数理的研究,,本研究は、歴史的建築物保存における経済活動と保存活動の競合について数理的に議論した論文である。歴史的建築物が尊重されずスクラップ・アンド・ビルドの潮流に飲み込まれていく実社会の現状への問題意識をもとに、まず先行研究や関連動向を丁寧に整理している。そして、不動産的価値と文化財的価値のトレードオフ、所有者と外部主体のコンフリクトを抽象化し、不動産市場を考慮した所有者意思決定と外部意見を考慮した均衡変化を可視化している。,10,A2 / A3,建物データ・区域指定など,B3,歴史的建築物保存,C2,(2) Stat(数理モデル),ja,2023/12/3,博士論文 東京大学,,,,,2023,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
102,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4743,Journal Article (DSC),あり（論文誌）,"井澤,佳織|渡部,宇子|本間,裕大|今井,公太郎",歴史的建築物保存における収益施設化に向けた最適改修割合-京都市歴史的建築物の保存および活用に関する条例適用事例に基づく検証-,,近年，歴史的建築物を収益施設に改修する手法が保存活動の主要な戦略の一つとなっている．この戦略を持続可能なものにするためには，収益特性などの基礎的な構造を検討することが有用である．本研究では，歴史的建築物を収益施設に改修する際の最適な比率を分析する意思決定モデルを提案する． また，モデルを拡張し実事例から具体的な工事費用と収益，改修割合のパラメータが収集できた際に，その背後に存在したであろう収益特性を推定するモデルへと展開する．その上で，京都市の条例が対象とする7つの歴史的建築物に拡張モデルを適用した．このケーススタディでは，事例間の共通パラメータだけでなく，各建築物の異なる状況も示している．本数理モデルを京都市の事例を実際に用いて検証したことで，収益特性を逆算的に絞りこめることも明らかとなった．これまでの費用便益分析は積み上げ型が主流であったのに対し，それとは全く異なる数理的アプローチができる可能性を示した点も本研究の大きな新規性と考えている．,10,A2,費用・収益データ,B3,歴史的建築物保存と収益化,C2,(2) Stat(費用便益モデル),ja,2022/11/26,都市計画論文集,56,3,1144,1151,2021,10.11361/journalcpij.56.1144,https://www.jstage.jst.go.jp/article/journalcpij/56/3/56_1144/_article/-char/ja/,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
103,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4071,Conference Paper (DSC),なし,"加藤,暢之|新妻,弘崇|太田,学",ニューラルネットワークによる賃貸物件データセットの欠損値補完の一手法,,機械学習やニューラルネットワークの多くは完全なデータを用いてモデルを訓練する．しかし，実際に存在するデータのほとんどは欠損値を含んでいるため，欠損値補完処理を行う必要がある．そこで本稿ではニューラルネットワークを用いた欠損値補完の一手法を提案する．手法の評価にはLIFULLHOME’Sデータセットの一部を用い，その欠損率は36.75%である．このデータセットに対して，平均値補完，主成分分析による補完などと比較して提案手法の欠損値補完の精度を評価する．,41,A2,物件属性データ,B1,データ補完→賃料分析等に応用可能,C1,(1) ML/DL(NNで欠損補完),ja,2022/11/26,データ工学と情報マネジメントに関するフォーラム（DEIM Forum 2019）論文集,,,,,2019,,https://db-event.jpn.org/deim2019/post/papers/125.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
104,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4737,Presentation (DSC),なし,"吉田,二郎",Economic Depreciation of Property Rents and Prices,,本研究では、不動産の経済的減価償却に着目し、住宅および商業不動産の賃料と価格に対する減価の影響を分析する。特に、機能的陳腐化（Functional Obsolescence）と物理的劣化（Physical Deterioration）の違いを明確にし、国別・市場別の減価償却率の差異を明らかにすることを目的とする。,42,A2,賃料・価格データ,B1,不動産価格・賃料減価償却,C2,(2) Stat(経済分析),en,2022/11/26,東京大学マクロ経済学ワークショップ,,,,,2022,10.3130/workshops..,https://www.cirje.e.u-tokyo.ac.jp/research/workshops/macro/macropaper21/macro0214_paper,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
105,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4738,Presentation (DSC),なし,"吉田,二郎",技術進歩と不動産減価,,,42,A2,不動産価値,B1,不動産の減価分析,C2,(2) Stat(減価償却分析),ja,2022/11/26,東京大学不動産金融フォーラム,,,,,2022,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
106,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4210,Journal Article (DSC),あり（論文誌）,"久保田,映希|廣井,悠",災害リスクが関東大都市圏の賃貸住宅市場に与える影響 -賃料・専有面積による市場区分と地域間の差異に注目して-,,本研究では、関東大都市圏を対象とした賃貸住宅価格のヘドニック分析を通じ、災害リスク回避傾向と世帯の社会属性の関係及び災害リスク回避傾向の地域差について考察した。分析では、賃貸住宅の賃料・専有面積・立地する地域による市場区分に注目し、ヘドニック賃料関数の推定結果の区分間の違いを調べた。分析の結果、東京都では関東大都市圏の他の地域より地震リスク・浸水リスク・土砂災害リスクによる賃料下降効果が大きいという傾向が見られた。また、賃料の安い「低所得世帯向け住宅」では「高所得世帯向け住宅」に比べて地震リスク・浸水リスクによる賃料下降効果が小さく、東京駅に近接していることによる賃料上昇効果が大きいという傾向が見られた。これらの結果から、世帯の社会属性や居住地は人々の災害リスク回避傾向に対し一定の説明力を持っていることが示唆された。,43,A2 / A3,賃料属性 + 災害リスクGIS,B1 / B3,災害リスクと賃料への影響,C2,(2) Stat/Spatial(ヘドニック),ja,2022/11/26,都市計画論文集,54,3,1153,1160,2019,10.11361/journalcpij.54.1153,https://www.jstage.jst.go.jp/article/journalcpij/54/3/54_1153/_article/-char/ja/,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
107,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4749,Conference Paper (DSC),なし,"興,星陽|木村,泰知",最寄り駅との標高差が不動産価格に与える影響について,,"不動産価格を決める要因には内的要因と外的要因がある. 内的要因は不動産自身の要因であり, 部屋数や建築年数などである. 外的要因は周囲の環境であり, 犯罪率, 空
気の清浄度, 交通機関のアクセスなどである[1]. 外的要因は，さまざまな要因が考えられることから，既存の不動産情報に含まれていない情報が存在する．例えば，地理条件
のひとつである「物件の標高」も外的要因であり，不動産賃貸価格を決定する要因になりうる．標高と不動産賃貸価格に関する研究としては，海抜と不
動産賃貸価格の関係についての調査がある[2]．石塚らの研究は，災害との関係性が強いため，津波などの要素から沿岸地域の「海抜（標高）」に焦点を当てており，「標高差」
を対象としていない．そこで，本研究では，最寄り駅と不動産物件の「標高差」が不動産賃貸価格にどの程度影響を及ぼすのかを明らかにする．",44,A2 / A3,価格 + 標高差,B1,不動産価格と標高差,C2,(2) Stat/Spatial?,ja,2022/11/26,情報処理学会全国大会講演論文集,84,4,4.447,4.448,2022,,https://researchmap.jp/kimura/misc/36446880/attachment_file.pdf,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
108,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1513,Presentation (DSC),なし,"近藤,聖也|和泉,潔|山田,健太|吉田,光男",Twitterから抽出した地域特性による不動産価格の分析,,本研究では、位置情報付きTwitterデータを活用し、地域特性を抽出して不動産価格への影響を分析する手法を提案します。具体的には、ユーザーのツイートから性別、年代、職業などの属性を推定し、山手線沿線29駅周辺エリアを対象に、各地域で活動するユーザー属性の比率を地域特性として定義しました。その後、賃貸物件の家賃を面積、駅からの距離、築年数、階数、部屋数などの基本的な説明変数で回帰分析し、得られた残差と地域特性との関係を検討しました。分析の結果、学生が多く活動する地域では家賃が低く、社会人男性が夜間に多く活動する地域では家賃が高い傾向が見られました。これらの知見は、新規物件の適正価格予測やマーケティング施策に活用できる可能性を示唆しています。,45,A2 / A3,価格 + SNS地域情報,B1,不動産価格とSNS解析,C2 / C6,(2) Stat + (6) NLP/SNS?,ja,2022/11/26,NII-IDRユーザフォーラム2016,,,,,2016,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2016_P10.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
109,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4578,Departmental Bulletin Paper (DSC),なし,"今井,悠人",賃貸物件の家賃設定に関する数理モデルの比較,,"全国の居住用不動産を対象に、相関係数を用いることで専有面積が賃料に与える影響
について考察する。加えて、経年劣化の賃料に与える影響を調査するため 3 つの数理モ
デルを設定して比較検討する。また経年劣化の進み具合が賃料に与える影響を考察する
ため適当な条件を設定し、その妥当性について検討する。",46,A2,賃料属性,B1,賃料設定モデル,C2,(2) Stat(数理モデル),ja,2022/11/26,二松學舍大学国際政経論集,,27,13,22,2021,,https://ci.nii.ac.jp/naid/40022633450/,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
